         3607 function calls (3582 primitive calls) in 0.008 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    0.008    0.008 main.py:2(<module>)
        1    0.000    0.000    0.002    0.002 main.py:10(main)
        1    0.001    0.001    0.002    0.002 argparse.py:62(<module>)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
        1    0.000    0.000    0.001    0.001 argparse.py:1556(__init__)
        8    0.000    0.000    0.001    0.000 re.py:230(_compile)
        4    0.000    0.000    0.001    0.000 sre_compile.py:567(compile)
        1    0.001    0.001    0.001    0.001 csv.py:4(<module>)
        7    0.000    0.000    0.001    0.000 re.py:192(compile)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
       18    0.000    0.000    0.000    0.000 linked_api.py:22(debug_print)
        3    0.000    0.000    0.000    0.000 argparse.py:1182(__init__)
      100    0.000    0.000    0.000    0.000 {method 'writelines' of 'file' objects}
        4    0.000    0.000    0.000    0.000 sre_parse.py:706(parse)
        2    0.000    0.000    0.000    0.000 argparse.py:1263(add_argument)
      5/4    0.000    0.000    0.000    0.000 sre_parse.py:317(_parse_sub)
        3    0.000    0.000    0.000    0.000 gettext.py:568(gettext)
        3    0.000    0.000    0.000    0.000 gettext.py:530(dgettext)
       66    0.000    0.000    0.000    0.000 linked_api.py:45(_get_node)
        3    0.000    0.000    0.000    0.000 gettext.py:464(translation)
        3    0.000    0.000    0.000    0.000 gettext.py:424(find)
      6/5    0.000    0.000    0.000    0.000 sre_parse.py:395(_parse)
        4    0.000    0.000    0.000    0.000 sre_compile.py:552(_code)
        2    0.000    0.000    0.000    0.000 argparse.py:2326(_get_formatter)
        2    0.000    0.000    0.000    0.000 argparse.py:154(__init__)
       23    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        9    0.000    0.000    0.000    0.000 linked_api.py:128(swap)
        1    0.000    0.000    0.000    0.000 argparse.py:1700(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1707(parse_known_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1742(_parse_known_args)
     12/4    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
       99    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1810(consume_optional)
      290    0.000    0.000    0.000    0.000 linked_api.py:31(<genexpr>)
        6    0.000    0.000    0.000    0.000 gettext.py:132(_expand_lang)
       14    0.000    0.000    0.000    0.000 linked_api.py:83(insert)
       47    0.000    0.000    0.000    0.000 sre_parse.py:141(__getitem__)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        4    0.000    0.000    0.000    0.000 sre_compile.py:433(_compile_info)
        1    0.000    0.000    0.000    0.000 argparse.py:2020(_match_argument)
        1    0.000    0.000    0.000    0.000 re.py:138(match)
      790    0.000    0.000    0.000    0.000 linked_api.py:161(get_next)
        2    0.000    0.000    0.000    0.000 argparse.py:1310(add_argument_group)
        6    0.000    0.000    0.000    0.000 locale.py:363(normalize)
        2    0.000    0.000    0.000    0.000 argparse.py:1486(__init__)
      458    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       12    0.000    0.000    0.000    0.000 genericpath.py:23(exists)
       19    0.000    0.000    0.000    0.000 linked_api.py:69(add)
     17/9    0.000    0.000    0.000    0.000 sre_parse.py:151(getwidth)
        6    0.000    0.000    0.000    0.000 linked_api.py:114(delete)
       12    0.000    0.000    0.000    0.000 posixpath.py:61(join)
       29    0.000    0.000    0.000    0.000 sre_parse.py:212(get)
        2    0.000    0.000    0.000    0.000 {open}
      290    0.000    0.000    0.000    0.000 linked_api.py:168(reverse_gen)
        5    0.000    0.000    0.000    0.000 linked_api.py:96(set)
       35    0.000    0.000    0.000    0.000 sre_parse.py:193(__next)
        1    0.000    0.000    0.000    0.000 argparse.py:1789(take_action)
        4    0.000    0.000    0.000    0.000 sre_compile.py:228(_compile_charset)
        1    0.000    0.000    0.000    0.000 linked_api.py:2(<module>)
       12    0.000    0.000    0.000    0.000 {posix.stat}
