0: ['REATE', '', '']
0: ['DEBUG', '', '']
0: ['ADD', 'a', '']
0: ['ADD', 'e', '']
0: ['ADD', 'r', '']
0: ['ADD', 'o', '']
0: ['ADD', 'I', '']
0: ['ADD', 'o', '']
0: ['ADD', 'd', '']
0: ['ADD', 'u', '']
0: ['ADD', 's', '']
0: ['ADD', 'a', '']
0: ['DEBUG', '', '']
0: ['ADD', 'u', '']
0: ['DEBUG', '', '']
0: ['SET', '4', 'S']
0: ['SET', '12', 'M']
0: ['DEBUG', '', '']
0: ['GET', '8', '']
0: ['GET', '11', '']
0: ['INSERT', '21', 'b']
0: ['INSERT', '4', 'i']
0: ['INSERT', '4', 'L']
0: ['INSERT', '4', 'w']
0: ['INSERT', '4', 'x']
0: ['INSERT', '4', 'T']
0: ['INSERT', '4', 'y']
0: ['DEBUG', '', '']
0: ['DELETE', '6', '']
0: ['DEBUG', '', '']
0: ['DELETE', '10', '']
0: ['DEBUG', '', '']
0: ['DELETE', '11', '']
0: ['DEBUG', '', '']
0: ['DELETE', '7', '']
0: ['DEBUG', '', '']
0: ['DELETE', '13', '']
0: ['DEBUG', '', '']
0: ['SWAP', '1', '3']
0: ['SWAP', '7', '8']
0: ['DEBUG', '', '']
0: ['SWAP', '0', '13']
0: ['DELETE', '10', '']
0: ['DEBUG', '', '']
0: ['ADD', 'u', '']
0: ['ADD', 'h', '']
0: ['DEBUG', '', '']
0: ['INSERT', '12', 'p']
0: ['ADD', '8', 't']
0: ['ADD', 'T', '']
0: ['ADD', 'g', '']
0: ['ADD', 'h', '']
0: ['ADD', 't', '']
0: ['DEBUG', '', '']
0: ['INSERT', '25', 'y']
0: ['SET', '15', 'o']
0: ['INSERT', '27', 'G']
0: ['DEBUG', '', '']
0: ['SET', '10', 'D']
0: ['SWAP', '16', '13']
0: ['DEBUG', '', '']
0: ['INSERT', '8', 'F']
0: ['INSERT', '7', 'o']
0: ['INSERT', '13', 't']
0: ['SET', '14', 'e']
0: ['SWAP', '0', '9']
0: ['SWAP', '3', '13']
0: ['DEBUG', '', '']
